Date,Time,Filename,Visibility (%),Avg Dark Value
13-03-2025,07:35:13,image_20250313_073513.jpg,71.61,72.4
13-03-2025,07:35:19,image_20250313_073519.jpg,71.71,72.14
13-03-2025,07:35:25,image_20250313_073525.jpg,71.73,72.09
13-03-2025,07:35:31,image_20250313_073531.jpg,71.75,72.03
13-03-2025,07:35:37,image_20250313_073537.jpg,64.03,91.72
13-03-2025,07:35:44,image_20250313_073544.jpg,71.8,71.9
13-03-2025,07:35:50,image_20250313_073550.jpg,71.89,71.68
13-03-2025,07:35:56,image_20250313_073556.jpg,71.87,71.73
13-03-2025,07:36:02,image_20250313_073602.jpg,71.88,71.7
13-03-2025,07:36:07,image_20250313_073607.jpg,71.86,71.76
13-03-2025,07:36:13,image_20250313_073613.jpg,71.86,71.77
13-03-2025,07:36:19,image_20250313_073619.jpg,50.66,125.81
13-03-2025,07:36:27,image_20250313_073627.jpg,71.9,71.67
13-03-2025,07:36:33,image_20250313_073633.jpg,71.09,73.71
13-03-2025,07:36:39,image_20250313_073639.jpg,71.13,73.61
13-03-2025,07:36:45,image_20250313_073645.jpg,71.1,73.7
13-03-2025,07:36:51,image_20250313_073651.jpg,58.2,106.59
13-03-2025,07:36:58,image_20250313_073658.jpg,71.4,72.92
13-03-2025,07:37:04,image_20250313_073704.jpg,71.4,72.94
13-03-2025,07:37:10,image_20250313_073710.jpg,71.48,72.71
13-03-2025,07:37:15,image_20250313_073715.jpg,71.38,72.97
13-03-2025,07:37:21,image_20250313_073721.jpg,71.39,72.96
13-03-2025,07:37:27,image_20250313_073727.jpg,72.8,69.37
13-03-2025,07:37:33,image_20250313_073733.jpg,72.69,69.65
13-03-2025,07:37:39,image_20250313_073739.jpg,71.92,71.61
13-03-2025,07:37:45,image_20250313_073745.jpg,72.03,71.31
13-03-2025,07:37:51,image_20250313_073751.jpg,72.11,71.12
13-03-2025,07:37:57,image_20250313_073757.jpg,71.97,71.49
13-03-2025,07:38:03,image_20250313_073803.jpg,71.43,72.85
13-03-2025,07:38:08,image_20250313_073808.jpg,71.46,72.77
13-03-2025,07:38:14,image_20250313_073814.jpg,71.44,72.83
13-03-2025,07:38:20,image_20250313_073820.jpg,71.82,71.86
13-03-2025,07:38:26,image_20250313_073826.jpg,71.75,72.05
13-03-2025,07:38:32,image_20250313_073832.jpg,71.75,72.05
13-03-2025,07:38:38,image_20250313_073838.jpg,53,119.84
13-03-2025,07:38:46,image_20250313_073846.jpg,72.05,71.28
13-03-2025,07:38:52,image_20250313_073852.jpg,72.22,70.83
13-03-2025,07:38:58,image_20250313_073858.jpg,71.46,72.78
13-03-2025,07:39:04,image_20250313_073904.jpg,71.58,72.48
13-03-2025,07:39:10,image_20250313_073910.jpg,71.7,72.17
13-03-2025,07:39:16,image_20250313_073916.jpg,72.19,70.92
13-03-2025,07:39:21,image_20250313_073921.jpg,71.93,71.58
13-03-2025,07:39:27,image_20250313_073927.jpg,71.91,71.63
13-03-2025,07:39:33,image_20250313_073933.jpg,71.96,71.51
13-03-2025,07:39:39,image_20250313_073939.jpg,72,71.41
13-03-2025,07:39:45,image_20250313_073945.jpg,71.98,71.46
13-03-2025,07:39:51,image_20250313_073951.jpg,72.24,70.78
13-03-2025,07:39:57,image_20250313_073957.jpg,72.24,70.8
13-03-2025,07:40:03,image_20250313_074003.jpg,72.09,71.18
13-03-2025,07:40:09,image_20250313_074009.jpg,72.17,70.98
13-03-2025,07:40:15,image_20250313_074015.jpg,72.33,70.55
13-03-2025,07:40:21,image_20250313_074021.jpg,71.79,71.94
13-03-2025,07:40:27,image_20250313_074027.jpg,72.06,71.24
13-03-2025,07:40:33,image_20250313_074033.jpg,72.22,70.85
13-03-2025,07:40:38,image_20250313_074038.jpg,72.51,70.09
13-03-2025,07:40:44,image_20250313_074044.jpg,71.64,72.31
13-03-2025,07:40:50,image_20250313_074050.jpg,71.8,71.91
13-03-2025,07:40:56,image_20250313_074056.jpg,71.83,71.82
13-03-2025,07:41:02,image_20250313_074102.jpg,71.66,72.26
13-03-2025,07:41:08,image_20250313_074108.jpg,72,71.41
13-03-2025,07:41:14,image_20250313_074114.jpg,72.04,71.29
13-03-2025,07:41:20,image_20250313_074120.jpg,72.11,71.11
13-03-2025,07:41:26,image_20250313_074126.jpg,72.31,70.6
13-03-2025,07:41:32,image_20250313_074132.jpg,72.56,69.97
13-03-2025,07:41:38,image_20250313_074138.jpg,72.51,70.09
13-03-2025,07:41:44,image_20250313_074144.jpg,72.44,70.29
13-03-2025,07:41:50,image_20250313_074150.jpg,72.42,70.33
13-03-2025,07:41:56,image_20250313_074156.jpg,72.56,69.98
13-03-2025,07:42:02,image_20250313_074202.jpg,72.74,69.51
13-03-2025,07:42:08,image_20250313_074208.jpg,72.67,69.69
13-03-2025,07:42:14,image_20250313_074214.jpg,72.78,69.41
13-03-2025,07:42:20,image_20250313_074220.jpg,72.48,70.18
13-03-2025,07:42:26,image_20250313_074226.jpg,72.24,70.79
13-03-2025,07:42:32,image_20250313_074232.jpg,72.18,70.95
13-03-2025,07:42:38,image_20250313_074238.jpg,72.6,69.86
13-03-2025,07:42:44,image_20250313_074244.jpg,72.21,70.85
13-03-2025,07:42:50,image_20250313_074250.jpg,72.09,71.17
13-03-2025,07:42:56,image_20250313_074256.jpg,71.9,71.67
13-03-2025,07:43:02,image_20250313_074302.jpg,71.82,71.85
13-03-2025,07:43:08,image_20250313_074308.jpg,72.11,71.11
13-03-2025,07:43:14,image_20250313_074314.jpg,72.05,71.27
13-03-2025,07:43:20,image_20250313_074320.jpg,71.99,71.42
13-03-2025,07:43:26,image_20250313_074326.jpg,72.36,70.47
13-03-2025,07:43:32,image_20250313_074332.jpg,71.55,72.56
13-03-2025,07:43:38,image_20250313_074338.jpg,71.51,72.66
13-03-2025,07:43:44,image_20250313_074344.jpg,71.34,73.07
13-03-2025,07:43:50,image_20250313_074350.jpg,71.37,73
13-03-2025,07:43:56,image_20250313_074356.jpg,71.27,73.25
13-03-2025,07:44:02,image_20250313_074402.jpg,71.23,73.37
13-03-2025,07:44:08,image_20250313_074408.jpg,71.27,73.25
13-03-2025,07:44:14,image_20250313_074414.jpg,71.57,72.49
13-03-2025,07:44:20,image_20250313_074420.jpg,71.8,71.9
13-03-2025,07:44:26,image_20250313_074426.jpg,71.88,71.7
13-03-2025,07:44:31,image_20250313_074431.jpg,71.37,73
13-03-2025,07:44:38,image_20250313_074438.jpg,71.48,72.71
13-03-2025,07:44:44,image_20250313_074444.jpg,72.21,70.88
13-03-2025,07:44:50,image_20250313_074450.jpg,71.33,73.11
13-03-2025,07:44:56,image_20250313_074456.jpg,71.22,73.39
13-03-2025,07:45:02,image_20250313_074502.jpg,71.65,72.3
13-03-2025,07:45:08,image_20250313_074508.jpg,71.73,72.08
13-03-2025,07:45:14,image_20250313_074514.jpg,71.8,71.91
13-03-2025,07:45:20,image_20250313_074520.jpg,71.84,71.82
13-03-2025,07:45:26,image_20250313_074526.jpg,71.86,71.76
13-03-2025,07:45:31,image_20250313_074531.jpg,71.86,71.75
13-03-2025,07:45:37,image_20250313_074537.jpg,72,71.39
13-03-2025,07:45:43,image_20250313_074543.jpg,72.15,71.03
13-03-2025,07:45:50,image_20250313_074550.jpg,72.05,71.26
13-03-2025,07:45:55,image_20250313_074555.jpg,71.74,72.07
13-03-2025,07:46:02,image_20250313_074602.jpg,71.97,71.47
13-03-2025,07:46:08,image_20250313_074608.jpg,72.15,71.02
13-03-2025,07:46:14,image_20250313_074614.jpg,72.18,70.94
13-03-2025,07:46:20,image_20250313_074620.jpg,71.33,73.12
13-03-2025,07:46:26,image_20250313_074626.jpg,72.44,70.27
13-03-2025,07:46:31,image_20250313_074631.jpg,71.44,72.82
13-03-2025,07:46:37,image_20250313_074637.jpg,72.09,71.18
13-03-2025,07:46:43,image_20250313_074643.jpg,71.54,72.56
13-03-2025,07:46:49,image_20250313_074649.jpg,71.7,72.18
13-03-2025,07:46:55,image_20250313_074655.jpg,71.31,73.15
13-03-2025,07:47:01,image_20250313_074701.jpg,71.59,72.45
13-03-2025,07:47:07,image_20250313_074707.jpg,71.21,73.42
13-03-2025,07:47:13,image_20250313_074713.jpg,71.39,72.95
13-03-2025,07:47:19,image_20250313_074719.jpg,71.23,73.36
13-03-2025,07:47:25,image_20250313_074725.jpg,71.2,73.43
13-03-2025,07:47:31,image_20250313_074731.jpg,71.31,73.16
13-03-2025,07:47:37,image_20250313_074737.jpg,71.33,73.1
13-03-2025,07:47:43,image_20250313_074743.jpg,71.28,73.24
13-03-2025,07:47:49,image_20250313_074749.jpg,71.27,73.27
13-03-2025,07:47:55,image_20250313_074755.jpg,71.2,73.44
13-03-2025,07:48:01,image_20250313_074801.jpg,70.96,74.05
13-03-2025,07:48:07,image_20250313_074807.jpg,70.97,74.02
13-03-2025,07:48:13,image_20250313_074813.jpg,71.23,73.35
13-03-2025,07:48:19,image_20250313_074819.jpg,71.19,73.47
13-03-2025,07:48:25,image_20250313_074825.jpg,71.39,72.97
13-03-2025,07:48:31,image_20250313_074831.jpg,71.36,73.03
13-03-2025,07:48:37,image_20250313_074837.jpg,71.35,73.05
13-03-2025,07:48:43,image_20250313_074843.jpg,71.38,72.98
13-03-2025,07:48:49,image_20250313_074849.jpg,71.27,73.25
13-03-2025,07:48:55,image_20250313_074855.jpg,71.18,73.48
13-03-2025,07:49:01,image_20250313_074901.jpg,71.27,73.27
13-03-2025,07:49:07,image_20250313_074907.jpg,71.26,73.28
13-03-2025,07:49:13,image_20250313_074913.jpg,71.25,73.32
13-03-2025,07:49:19,image_20250313_074919.jpg,71.33,73.11
13-03-2025,07:49:25,image_20250313_074925.jpg,71.35,73.05
13-03-2025,07:49:31,image_20250313_074931.jpg,71.29,73.21
13-03-2025,07:49:37,image_20250313_074937.jpg,71.17,73.52
13-03-2025,07:49:43,image_20250313_074943.jpg,71.25,73.31
13-03-2025,07:49:49,image_20250313_074949.jpg,71.13,73.63
13-03-2025,07:49:55,image_20250313_074955.jpg,71.36,73.04
13-03-2025,07:50:01,image_20250313_075001.jpg,71.49,72.71
13-03-2025,07:50:07,image_20250313_075007.jpg,71.61,72.39
13-03-2025,07:50:13,image_20250313_075013.jpg,71.59,72.44
13-03-2025,07:50:20,image_20250313_075020.jpg,71.52,72.62
13-03-2025,07:50:26,image_20250313_075026.jpg,71.74,72.06
